dateCut,timeCut,joinpoint,count,retweets,fake_month,fake_hour
1,1,1 1,22,515.7272727272727,1,1
1,2,1 2,49,403.14285714285717,1,2
1,3,1 3,59,411.59322033898303,1,3
1,4,1 4,12,448.75,1,4
1,5,1 5,16,517.0,1,5
1,6,1 6,17,301.1764705882353,1,6
1,7,1 7,2,299.5,1,7
NA,NA,1 8,NA,NA,1,8
NA,NA,1 9,NA,NA,1,9
1,10,1 10,7,1776.142857142857,1,10
1,11,1 11,8,1050.5,1,11
1,12,1 12,25,481.0,1,12
1,13,1 13,19,443.10526315789474,1,13
1,14,1 14,37,571.2432432432432,1,14
1,15,1 15,31,599.6451612903226,1,15
1,16,1 16,17,577.6470588235294,1,16
1,17,1 17,24,731.0416666666666,1,17
1,18,1 18,33,680.7272727272727,1,18
1,19,1 19,42,771.6904761904761,1,19
1,20,1 20,43,662.1860465116279,1,20
1,21,1 21,33,968.2424242424242,1,21
1,22,1 22,22,876.0,1,22
1,23,1 23,8,539.125,1,23
1,24,1 24,8,808.875,1,24
2,1,2 1,29,1176.6206896551723,2,1
2,2,2 2,28,1068.9642857142858,2,2
2,3,2 3,17,1300.3529411764705,2,3
2,4,2 4,24,595.125,2,4
2,5,2 5,11,1861.5454545454545,2,5
2,6,2 6,13,693.7692307692307,2,6
NA,NA,2 7,NA,NA,2,7
2,8,2 8,16,1017.8125,2,8
2,9,2 9,26,481.9230769230769,2,9
2,10,2 10,12,679.4166666666666,2,10
2,11,2 11,6,1405.6666666666667,2,11
2,12,2 12,5,2644.0,2,12
2,13,2 13,22,1840.8181818181818,2,13
2,14,2 14,32,1684.9375,2,14
2,15,2 15,25,1649.32,2,15
2,16,2 16,30,1391.2333333333333,2,16
2,17,2 17,13,1111.2307692307693,2,17
2,18,2 18,26,1306.4615384615386,2,18
2,19,2 19,19,1110.8947368421052,2,19
2,20,2 20,21,1639.5714285714287,2,20
2,21,2 21,32,1875.9375,2,21
2,22,2 22,12,1516.5,2,22
2,23,2 23,10,1979.9,2,23
2,24,2 24,12,544.25,2,24
3,1,3 1,40,1470.125,3,1
3,2,3 2,15,1572.0666666666666,3,2
3,3,3 3,45,1543.3333333333333,3,3
3,4,3 4,16,1522.25,3,4
3,5,3 5,11,1335.8181818181818,3,5
3,6,3 6,1,1874.0,3,6
3,7,3 7,4,1548.0,3,7
NA,NA,3 8,NA,NA,3,8
3,9,3 9,1,1131.0,3,9
3,10,3 10,5,1607.8,3,10
3,11,3 11,18,614.8333333333334,3,11
3,12,3 12,25,1484.52,3,12
3,13,3 13,39,1663.5641025641025,3,13
3,14,3 14,12,2619.6666666666665,3,14
3,15,3 15,11,1885.8181818181818,3,15
3,16,3 16,23,2016.0434782608695,3,16
3,17,3 17,17,2498.6470588235293,3,17
3,18,3 18,36,1359.1944444444443,3,18
3,19,3 19,15,1505.2,3,19
3,20,3 20,36,1706.3333333333333,3,20
3,21,3 21,26,1967.7692307692307,3,21
3,22,3 22,22,2250.7727272727275,3,22
3,23,3 23,6,1772.6666666666667,3,23
3,24,3 24,16,1318.125,3,24
4,1,4 1,68,1192.3235294117646,4,1
4,2,4 2,64,1477.875,4,2
4,3,4 3,68,1389.4411764705883,4,3
4,4,4 4,64,989.421875,4,4
4,5,4 5,19,1130.5263157894738,4,5
4,6,4 6,3,1314.6666666666667,4,6
4,7,4 7,5,674.4,4,7
4,8,4 8,1,917.0,4,8
4,9,4 9,1,6057.0,4,9
4,10,4 10,9,1354.2222222222222,4,10
4,11,4 11,22,996.5,4,11
4,12,4 12,45,885.6222222222223,4,12
4,13,4 13,23,1066.9130434782608,4,13
4,14,4 14,35,1242.2,4,14
4,15,4 15,34,1110.5882352941176,4,15
4,16,4 16,52,974.8846153846154,4,16
4,17,4 17,31,1243.967741935484,4,17
4,18,4 18,20,1844.5,4,18
4,19,4 19,33,1157.5757575757575,4,19
4,20,4 20,50,1093.02,4,20
4,21,4 21,37,1350.6216216216217,4,21
4,22,4 22,26,1104.076923076923,4,22
4,23,4 23,44,784.0681818181819,4,23
4,24,4 24,61,1101.4754098360656,4,24
5,1,5 1,38,1497.2631578947369,5,1
5,2,5 2,42,1461.404761904762,5,2
5,3,5 3,33,1129.0,5,3
5,4,5 4,32,1632.875,5,4
5,5,5 5,20,986.15,5,5
5,6,5 6,23,798.7391304347826,5,6
5,7,5 7,13,808.7692307692307,5,7
5,8,5 8,1,481.0,5,8
5,9,5 9,9,972.4444444444445,5,9
5,10,5 10,22,895.9090909090909,5,10
5,11,5 11,5,1037.0,5,11
5,12,5 12,11,981.8181818181819,5,12
5,13,5 13,34,1606.0,5,13
5,14,5 14,33,2695.212121212121,5,14
5,15,5 15,30,1360.5333333333333,5,15
5,16,5 16,27,1687.8148148148148,5,16
5,17,5 17,17,1629.235294117647,5,17
5,18,5 18,16,944.0625,5,18
5,19,5 19,31,1453.225806451613,5,19
5,20,5 20,22,1691.7727272727273,5,20
5,21,5 21,31,1763.2903225806451,5,21
5,22,5 22,35,1880.5428571428572,5,22
5,23,5 23,35,1329.7714285714285,5,23
5,24,5 24,39,1514.6923076923076,5,24
6,1,6 1,38,1676.2894736842106,6,1
6,2,6 2,22,2934.090909090909,6,2
6,3,6 3,15,2371.8,6,3
6,4,6 4,46,1775.804347826087,6,4
6,5,6 5,35,1737.7428571428572,6,5
6,6,6 6,22,1491.3181818181818,6,6
6,7,6 7,6,2024.0,6,7
6,8,6 8,1,1363.0,6,8
6,9,6 9,3,2257.0,6,9
6,10,6 10,6,1816.8333333333333,6,10
6,11,6 11,10,1040.8,6,11
6,12,6 12,22,1592.7272727272727,6,12
6,13,6 13,36,2181.6111111111113,6,13
6,14,6 14,41,1627.6829268292684,6,14
6,15,6 15,25,1801.92,6,15
6,16,6 16,35,1607.2,6,16
6,17,6 17,22,1718.5,6,17
6,18,6 18,22,2014.8181818181818,6,18
6,19,6 19,22,1529.6363636363637,6,19
6,20,6 20,20,2060.9,6,20
6,21,6 21,27,2018.0,6,21
6,22,6 22,34,1471.3529411764705,6,22
6,23,6 23,34,1634.9411764705883,6,23
6,24,6 24,35,2179.5714285714284,6,24
7,1,7 1,13,2244.230769230769,7,1
7,2,7 2,23,2027.8260869565217,7,2
7,3,7 3,23,2280.0,7,3
7,4,7 4,37,2176.2972972972975,7,4
