month_cat,count,total_rt,total_fav,tweet_effect
1,534,0.328488,0.665705,0.6151460674157304
2,441,0.574456,1.206274,1.302621315192744
3,440,0.727549,1.417614,1.6535204545454547
4,815,0.948343,2.067582,1.1636110429447855
5,599,0.88242,2.054323,1.4731552587646077
6,579,1.055731,2.659095,1.823369602763385
7,507,1.07256,2.913198,2.1155029585798815
8,516,1.572664,4.271697,3.047798449612403
9,456,2.304421,6.346592,5.053554824561403
10,287,1.166913,3.070871,4.065898954703833
11,357,1.766765,5.052138,4.948921568627451
12,258,1.69554,3.905527,6.571860465116279
13,359,3.599808,10.697006,10.027320334261837
14,285,2.506739,7.118208,8.795575438596492
15,300,2.775675,7.680697,9.25225
16,532,6.311157,14.822961,11.863077067669174
17,110,2.351921,6.165981,21.3811
