hour_cat,count,total_rt,total_fav,tweet_effect
1,424,1.406835,3.791046,3318.007075471698
2,498,2.157531,5.651285,4332.391566265061
3,523,2.434935,6.47692,4655.7074569789675
4,377,1.328166,3.737959,3522.9867374005307
5,222,0.85865,2.354314,3867.7927927927926
6,146,0.342178,0.975788,2343.6849315068494
7,63,0.181892,0.493789,2887.174603174603
8,29,0.079327,0.215609,2735.4137931034484
9,42,0.037179,0.087433,885.2142857142858
10,84,0.244207,0.638624,2907.2261904761904
11,168,0.661643,1.881917,3938.3511904761904
12,301,1.789755,4.575716,5946.029900332226
13,376,1.701582,4.675031,4525.484042553191
14,423,1.882041,5.09456,4449.269503546099
15,377,1.758746,4.51395,4665.10875331565
16,373,1.62829,3.942092,4365.388739946381
17,344,1.532347,3.767043,4454.497093023256
18,331,1.416635,3.489345,4279.864048338369
19,357,1.617594,3.943713,4531.075630252101
20,403,1.744959,4.29425,4329.923076923077
21,397,1.630436,4.120111,4106.89168765743
22,397,2.001865,5.146731,5042.481108312342
23,356,1.708127,4.230342,4798.109550561798
24,364,1.49623,4.017901,4110.521978021978
